id;movie_name;year;certificate;runtime_min;genre;rating;description;director;star;votes;gross_in_dollar;with_description
tt3224458;A Beautiful Day in the Neighborhood;2019;PG;109;Biography, Drama;7.2;Based on the true story of a real-life friendship between Fred Rogers and journalist Lloyd Vogel.;Marielle Heller;"Matthew Rhys, 
Tom Hanks, 
Chris Cooper, 
Susan Kelechi Watson";82908.0;61704055.0;true
tt8745676;The Swimmers;2022;PG-13;134;Biography, Drama, Sport;7.4;From war-torn Syria to the 2016 Rio Olympics, two young sisters embark on a harrowing journey as refugees, putting both their hearts and champion swimming skills to heroic use.;Sally El Hosaini;"Matthias Schweighöfer, 
Manal Issa, 
Ali Suliman, 
Nathalie Issa";26744.0;;true
tt1895587;Spotlight;2015;R;129;Biography, Crime, Drama;8.1;The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.;Tom McCarthy;"Mark Ruffalo, 
Michael Keaton, 
Rachel McAdams, 
Liev Schreiber";476636.0;45055776.0;true
tt0086879;Amadeus;1984;R;160;Biography, Drama, Music;8.4;The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.;Milos Forman;"F. Murray Abraham, 
Tom Hulce, 
Elizabeth Berridge, 
Roy Dotrice";405805.0;51973029.0;true
tt0056172;Lawrence of Arabia;1962;Approved;218;Adventure, Biography, Drama;8.3;The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.;David Lean;"Peter O'Toole, 
Alec Guinness, 
Anthony Quinn, 
Jack Hawkins";297835.0;44824144.0;true
tt0878804;The Blind Side;2009;PG-13;129;Biography, Drama, Sport;7.6;The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.;John Lee Hancock;"Quinton Aaron, 
Sandra Bullock, 
Tim McGraw, 
Jae Head";339472.0;255959475.0;true
tt0338751;The Aviator;2004;PG-13;170;Biography, Drama;7.5;A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.;Martin Scorsese;"Leonardo DiCaprio, 
Cate Blanchett, 
Kate Beckinsale, 
John C. Reilly";367749.0;102608827.0;true
tt3569230;Legend;2015;R;132;Biography, Crime, Drama;6.9;Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.;Brian Helgeland;"Tom Hardy, 
Emily Browning, 
Taron Egerton, 
Paul Anderson";188077.0;1872994.0;true
tt5083738;The Favourite;2018;R;119;Biography, Comedy, Drama;7.5;In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.;Yorgos Lanthimos;"Olivia Colman, 
Emma Stone, 
Rachel Weisz, 
Nicholas Hoult";205297.0;34366783.0;true
tt1504320;The King's Speech;2010;R;118;Biography, Drama, History;8.0;The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.;Tom Hooper;"Colin Firth, 
Geoffrey Rush, 
Helena Bonham Carter, 
Derek Jacobi";687056.0;138797449.0;true
tt0210945;Remember the Titans;2000;PG;113;Biography, Drama, Sport;7.8;The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.;Boaz Yakin;"Denzel Washington, 
Will Patton, 
Wood Harris, 
Ryan Hurst";219796.0;115654751.0;true
tt0393162;Coach Carter;2005;PG-13;136;Biography, Drama, Sport;7.3;Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.;Thomas Carter;"Samuel L. Jackson, 
Rick Gonzalez, 
Robert Ri'chard, 
Rob Brown";156002.0;67264877.0;true
tt12262116;Thirteen Lives;2022;PG-13;147;Action, Adventure, Biography;7.8;A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.;Ron Howard;"Viggo Mortensen, 
Colin Farrell, 
Joel Edgerton, 
Tom Bateman";57990.0;;true
tt4276820;The Founder;2016;PG-13;115;Biography, Drama;7.2;The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.;John Lee Hancock;"Michael Keaton, 
Nick Offerman, 
John Carroll Lynch, 
Linda Cardellini";156645.0;12786053.0;true
tt2179136;American Sniper;2014;R;133;Action, Biography, Drama;7.3;Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.;Clint Eastwood;"Bradley Cooper, 
Sienna Miller, 
Kyle Gallner, 
Cole Konis";496596.0;350126372.0;true
tt6394270;Bombshell;2019;R;109;Biography, Drama;6.8;A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.;Jay Roach;"Charlize Theron, 
Nicole Kidman, 
Margot Robbie, 
John Lithgow";118521.0;;true
tt0454921;The Pursuit of Happyness;2006;PG-13;117;Biography, Drama;8.0;A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.;Gabriele Muccino;"Will Smith, 
Thandiwe Newton, 
Jaden Smith, 
Brian Howe";523088.0;163566459.0;true
tt12789558;Belfast;2021;PG-13;98;Biography, Drama;7.3;A young boy and his working-class Belfast family experience the tumultuous late 1960s.;Kenneth Branagh;"Jude Hill, 
Lewis McAskie, 
Caitríona Balfe, 
Jamie Dornan";78557.0;;true
tt0802948;An American Crime;2007;R;98;Biography, Crime, Drama;7.2;The true story of suburban housewife Gertrude Baniszewski, who kept a teenage girl locked in the basement of her Indiana home during the 1960s.;Tommy O'Haver;"Elliot Page, 
Hayley McFarland, 
Nick Searcy, 
Romy Rosemont";35485.0;;true
tt14308636;Bank of Dave;2023;;107;Biography, Comedy, Drama;7.1;"Based on the true-life experiences of Dave Fishwick; 'Bank of Dave' tells the story of how a working class Burnley man and self-made millionaire fought to set up a community bank.";Chris Foggin;"Hugh Bonneville, 
Phoebe Dynevor, 
Paul Kaye, 
Joel Fry";5251.0;;true
tt6294822;The Post;2017;PG-13;116;Biography, Drama, History;7.2;A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.;Steven Spielberg;"Meryl Streep, 
Tom Hanks, 
Sarah Paulson, 
Bob Odenkirk";154656.0;81903458.0;true
tt2066051;Rocketman;2019;R;121;Biography, Drama, Musical;7.3;A musical fantasy about the fantastical human story of Elton John's breakthrough years.;Dexter Fletcher;"Taron Egerton, 
Jamie Bell, 
Richard Madden, 
Bryce Dallas Howard";179456.0;96368160.0;true
tt0172493;Girl, Interrupted;1999;R;127;Biography, Drama;7.3;Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the late 1960s.;James Mangold;"Winona Ryder, 
Angelina Jolie, 
Clea DuVall, 
Brittany Murphy";194111.0;28871190.0;true
tt4916630;Just Mercy;2019;PG-13;137;Biography, Crime, Drama;7.6;World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.;Destin Daniel Cretton;"Michael B. Jordan, 
Jamie Foxx, 
Brie Larson, 
Charlie Pye Jr.";70214.0;;true
tt0363163;Downfall;2004;R;156;Biography, Drama, History;8.2;Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.;Oliver Hirschbiegel;"Bruno Ganz, 
Alexandra Maria Lara, 
Ulrich Matthes, 
Juliane Köhler";359488.0;5509040.0;true
tt1226837;Beautiful Boy;2018;R;120;Biography, Drama;7.3;Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse and recovery in a family coping with addiction over many years.;Felix van Groeningen;"Steve Carell, 
Maura Tierney, 
Jack Dylan Grazer, 
Oakley Bull";83207.0;7649973.0;true
tt1979320;Rush;2013;R;123;Action, Biography, Drama;8.1;The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.;Ron Howard;"Daniel Brühl, 
Chris Hemsworth, 
Olivia Wilde, 
Alexandra Maria Lara";486224.0;26947624.0;true
tt0765429;American Gangster;2007;R;157;Biography, Crime, Drama;7.8;An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.;Ridley Scott;"Denzel Washington, 
Russell Crowe, 
Chiwetel Ejiofor, 
Josh Brolin";432457.0;130164645.0;true
tt0790636;Dallas Buyers Club;2013;R;117;Biography, Drama;7.9;In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.;Jean-Marc Vallée;"Matthew McConaughey, 
Jennifer Garner, 
Jared Leto, 
Steve Zahn";495584.0;27298285.0;true
tt0072890;Dog Day Afternoon;1975;R;125;Biography, Crime, Drama;8.0;Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.;Sidney Lumet;"Al Pacino, 
John Cazale, 
Penelope Allen, 
Sully Boyar";260940.0;50000000.0;true
tt1024648;Argo;2012;R;120;Biography, Drama, Thriller;7.7;Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.;Ben Affleck;"Ben Affleck, 
Bryan Cranston, 
John Goodman, 
Alan Arkin";620287.0;136025503.0;true
tt3741834;Lion;2016;PG-13;118;Biography, Drama;8.0;A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.;Garth Davis;"Dev Patel, 
Nicole Kidman, 
Rooney Mara, 
Sunny Pawar";240478.0;51739495.0;true
tt4209788;Molly's Game;2017;R;140;Biography, Crime, Drama;7.4;The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.;Aaron Sorkin;"Jessica Chastain, 
Idris Elba, 
Kevin Costner, 
Michael Cera";176967.0;28780744.0;true
tt6266538;Vice;2018;R;132;Biography, Comedy, Drama;7.2;The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that are still felt today.;Adam McKay;"Christian Bale, 
Amy Adams, 
Steve Carell, 
Sam Rockwell";151743.0;47836282.0;true
tt11992694;Corsage;2022;;114;Biography, Drama, History;6.6;"A fictional account of one year in the life of Empress Elisabeth of Austria. On Christmas Eve 1877, Elisabeth, once idolized for her beauty, turns 40 and is officially deemed an old woman; she starts trying to maintain her public image.";Marie Kreutzer;"Vicky Krieps, 
Colin Morgan, 
Finnegan Oldfield, 
Tamás Lengyel";6036.0;;true
tt7349662;BlacKkKlansman;2018;R;135;Biography, Comedy, Crime;7.5;Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.;Spike Lee;"John David Washington, 
Adam Driver, 
Laura Harrier, 
Topher Grace";270346.0;49275340.0;true
tt1091191;Lone Survivor;2013;R;121;Action, Biography, Drama;7.5;Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.;Peter Berg;"Mark Wahlberg, 
Taylor Kitsch, 
Emile Hirsch, 
Ben Foster";292731.0;125095601.0;true
tt0104797;Malcolm X;1992;PG-13;202;Biography, Drama, History;7.7;Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.;Spike Lee;"Denzel Washington, 
Angela Bassett, 
Delroy Lindo, 
Spike Lee";97027.0;48169908.0;true
tt0358273;Walk the Line;2005;PG-13;136;Biography, Drama, Music;7.8;A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.;James Mangold;"Joaquin Phoenix, 
Reese Witherspoon, 
Ginnifer Goodwin, 
Robert Patrick";255163.0;119519402.0;true
tt6823148;Benedetta;2021;Unrated;131;Biography, Drama, History;6.7;A 17th-century nun in Italy suffers from disturbing religious and erotic visions. She is assisted by a companion, and the relationship between the two women develops into a romantic love affair.;Paul Verhoeven;"Virginie Efira, 
Charlotte Rampling, 
Daphne Patakia, 
Lambert Wilson";21287.0;;true
tt0443272;Lincoln;2012;PG-13;150;Biography, Drama, History;7.3;As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.;Steven Spielberg;"Daniel Day-Lewis, 
Sally Field, 
David Strathairn, 
Joseph Gordon-Levitt";263935.0;182207973.0;true
tt7598076;Curiosa;2019;;107;Biography, Drama, History;5.4;A passionate love story set against a backdrop of sexual freedom, loosely based on the relationship between 19th-century authors Pierre Louÿs and Marie de Régnier.;Lou Jeunet;"Noémie Merlant, 
Niels Schneider, 
Benjamin Lavernhe, 
Camélia Jordana";2680.0;;true
tt2719848;Everest;2015;PG-13;121;Action, Adventure, Biography;7.1;"The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10;1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.";Baltasar Kormákur;"Jason Clarke, 
Ang Phula Sherpa, 
Thomas M. Wright, 
Martin Henderson";221984.0;43482270.0;true
tt0964517;The Fighter;2010;R;116;Action, Biography, Drama;7.8;Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.;David O. Russell;"Mark Wahlberg, 
Christian Bale, 
Amy Adams, 
Melissa Leo";373832.0;93617009.0;true
tt8323668;Jerry and Marge Go Large;2022;PG-13;96;Biography, Comedy, Drama;6.9;Based on the true story about long-married couple Jerry and Marge Selbee, who win the lottery and use the money to revive their small town.;David Frankel;"Bryan Cranston, 
Annette Bening, 
Rainn Wilson, 
Larry Wilmore";15295.0;;true
tt5533370;Lamborghini: The Man Behind the Legend;2022;R;97;Biography, Drama, Sport;5.3;The life story of Ferruccio Lamborghini, the founder of Lamborghini.;Bobby Moresco;"Frank Grillo, 
Mira Sorvino, 
Gabriel Byrne, 
Eliana Jones";5309.0;;true
tt5580036;I, Tonya;2017;R;119;Biography, Comedy, Drama;7.5;Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.;Craig Gillespie;"Margot Robbie, 
Sebastian Stan, 
Allison Janney, 
Julianne Nicholson";223605.0;30014539.0;true
